,Date,Data_Value,StockPrice,daily_return,log_return,price_change,volatility_7d,MA_7,MA_30,MA_50,price_to_MA7_ratio,day_of_week,day_of_month,month,RSI_14,MACD,MACD_signal,bollinger_upper,bollinger_lower,momentum_5d,momentum_20d,price_lag_1,price_lag_2,price_lag_3,price_lag_4,price_lag_5,rolling_max_20d,rolling_min_20d
3332,2011-09-06,1.534,1243.0,-0.02700587084148731,-0.02737723056714842,-34.5,0.016815676399009126,1254.2857142857142,1251.475,1282.18,0.991002277904328,1,6,9,49.951690821256044,-3.540984099287698,-5.98108374811704,1309.4884212534712,1185.0865787465286,-0.0056,0.03734612977258502,1277.5,1264.25,1236.5,1241.75,1250.0,1296.5,1171.0
3333,2011-09-02,1.541,1247.75,0.0038213998390990156,0.0038141168390075715,4.75,0.016170045185574605,1251.5357142857142,1250.4416666666666,1280.39,0.9969751448220758,4,2,9,57.082002129925456,-3.965818451183168,-5.578030688730267,1301.9361829748862,1200.3138170251138,0.004831890477149185,0.06554227156276686,1243.0,1277.5,1264.25,1236.5,1241.75,1296.5,1208.25
3334,2011-09-01,1.543,1279.75,0.025646163093568486,0.02532281698797407,32.0,0.018213710025582988,1255.7857142857142,1249.6333333333334,1279.06,1.0190831010750243,3,1,9,63.72360844529751,-1.7007648129110748,-4.802577513566428,1303.1648787332078,1205.9851212667922,0.03497775980590376,0.056989469337187695,1247.75,1243.0,1277.5,1264.25,1236.5,1296.5,1208.25
3335,2011-08-31,1.542,1296.25,0.01289314319202961,0.012810734206044372,16.5,0.017898126453096644,1263.5714285714287,1250.0833333333333,1278.54,1.0258620689655171,2,31,8,61.389172625127685,1.4094711123780144,-3.56016778837754,1308.8709012741947,1205.8040987258055,0.0253114494759739,0.04452054794520548,1279.75,1247.75,1243.0,1277.5,1264.25,1296.5,1208.25
3336,2011-08-30,1.54,1283.25,-0.010028929604628756,-0.010079558103324554,-13.0,0.018587469763117606,1270.25,1250.0916666666667,1278.0,1.0102342058649871,1,30,8,50.57471264367816,2.7931662548421627,-2.2895009797335995,1311.3164658186251,1208.333534181375,0.004500978473581213,0.04033238751520065,1296.25,1279.75,1247.75,1243.0,1277.5,1296.5,1208.25
3337,2011-08-29,1.54,1286.5,0.0025326319890901505,0.00252943028138626,3.25,0.017013073907089584,1273.4285714285713,1250.5,1276.57,1.0102647520753871,0,29,8,50.91324200913242,4.104686195463955,-1.0106635446940886,1314.1981000778223,1208.6768999221777,0.03499597747385358,0.025712577237392863,1283.25,1296.25,1279.75,1247.75,1243.0,1296.5,1208.25
3338,2011-08-26,1.54,1254.5,-0.024873688301593422,-0.02518826591532183,-32.0,0.019374440495535678,1270.142857142857,1249.7916666666667,1274.815,0.9876841750084355,4,26,8,41.139240506329116,2.5327467051197345,-0.3019814947313241,1314.1808595634693,1209.8191404365307,0.0054097375275495895,0.0090488638648703,1286.5,1283.25,1296.25,1279.75,1247.75,1296.5,1208.25
3339,2011-08-25,1.539,1236.0,-0.014746911119968065,-0.014856727788840847,-18.5,0.01721673463484767,1269.142857142857,1249.6666666666667,1272.82,0.9738856371004052,3,25,8,39.31451612903226,-0.20347650475264345,-0.28228049673558797,1311.9144523390942,1214.235547660906,-0.03418636452432116,0.0177027583367641,1254.5,1286.5,1283.25,1296.25,1279.75,1296.5,1208.25
3340,2011-08-24,1.539,1250.5,0.01173139158576042,0.011663112300037566,14.5,0.017810712411485078,1269.5357142857142,1249.9416666666666,1271.02,0.9850057670126875,2,24,8,46.56964656964657,-1.1882271506096913,-0.46346982751040866,1307.2231599810934,1223.1518400189066,-0.03529411764705882,0.03496792882267743,1236.0,1254.5,1286.5,1283.25,1296.25,1296.5,1236.0
3341,2011-08-23,1.536,1237.0,-0.010795681727309048,-0.010854377925185815,-13.5,0.014173165491762747,1263.4285714285713,1250.5166666666667,1269.38,0.9790818634102217,1,23,8,47.257383966244724,-3.0231374611744286,-0.9754033542432128,1307.5075384044237,1222.5174615955764,-0.0360413013832067,-0.0028214429665457475,1250.5,1236.0,1254.5,1286.5,1283.25,1296.5,1236.0
3342,2011-08-22,1.534,1201.75,-0.028496362166531952,-0.028910265618417846,-35.25,0.014216796024198992,1249.9285714285713,1250.6333333333334,1267.23,0.9614549402823019,0,22,8,42.42424242424243,-7.238259357358402,-2.2279745548662504,1311.3670658129008,1210.7579341870992,-0.06587640886125146,-0.06168260784696467,1237.0,1250.5,1236.0,1254.5,1286.5,1296.5,1201.75
3343,2011-08-19,1.533,1202.5,0.0006240898689411356,0.0006238952058461776,0.75,0.014852603195836698,1238.392857142857,1251.6833333333334,1264.6,0.9710165825522711,4,19,8,43.44894026974952,-10.398388941464418,-3.862057432185884,1312.6362714975871,1201.4887285024129,-0.04145077720207254,-0.06237816764132553,1201.75,1237.0,1250.5,1236.0,1254.5,1296.5,1201.75
3344,2011-08-18,1.535,1222.0,0.016216216216216273,0.016086137751624444,19.5,0.017338357032793003,1229.1785714285713,1252.0583333333334,1261.725,0.9941598628584711,3,18,8,41.59203980099502,-11.20021822882427,-5.329689591513562,1307.7562648996407,1198.9187351003595,-0.011326860841423949,-0.05746239876590822,1202.5,1201.75,1237.0,1250.5,1236.0,1296.25,1201.75
3345,2011-08-17,1.535,1268.5,0.03805237315875609,0.03734623930779589,46.5,0.022257576042647716,1231.1785714285713,1252.975,1259.75,1.0303135787427844,2,17,8,48.4182776801406,-7.991392533977205,-5.862030180006291,1304.6348498038046,1199.9901501961954,0.014394242303078768,-0.01590380139643134,1222.0,1202.5,1201.75,1237.0,1250.5,1296.25,1201.75
3346,2011-08-16,1.536,1270.75,0.0017737485218762838,0.0017721772876753755,2.25,0.021054209839824256,1236.142857142857,1254.2166666666667,1258.72,1.0279960707269156,1,16,8,55.50049554013875,-5.2067981287950715,-5.730983769764047,1305.0702537416873,1199.9297462583127,0.027283751010509297,0.0029597474348855564,1268.5,1222.0,1202.5,1201.75,1237.0,1296.25,1201.75
3347,2011-08-15,1.538,1277.0,0.004918355301986921,0.004906299705527309,6.25,0.020801718232955336,1239.9285714285713,1254.975,1258.075,1.0298980356011291,0,15,8,55.76354679802955,-2.4672236161447927,-5.078231739040197,1307.5250456528356,1200.1749543471642,0.06261701685042646,0.0216,1270.75,1268.5,1222.0,1202.5,1201.75,1296.25,1201.75
3348,2011-08-12,1.535,1255.25,-0.017032106499608513,-0.01717882111772447,-21.75,0.021617819239012882,1242.5357142857142,1255.375,1256.545,1.0102325314017995,4,12,8,44.96919917864476,-2.027759555052853,-4.468137302242728,1307.898041682723,1201.1519583172771,0.04386694386694387,0.010871753573585665,1277.0,1270.75,1268.5,1222.0,1202.5,1296.25,1201.75
3349,2011-08-11,1.535,1247.0,-0.006572395937064379,-0.006594089234778478,-8.25,0.017634681873043727,1249.0,1256.4583333333333,1255.085,0.9983987189751802,3,11,8,39.53241232731137,-2.318461392600966,-4.038202120314376,1307.8803142597271,1202.2196857402728,0.020458265139116204,0.008491710473109584,1255.25,1277.0,1270.75,1268.5,1222.0,1296.25,1201.75
3350,2011-08-10,1.545,1202.0,-0.03608660785886131,-0.0367538305848836,-45.0,0.02371211792186456,1248.9285714285713,1256.25,1253.23,0.9624249356591364,2,10,8,34.79887745556594,-6.1095416198240855,-4.452470020216318,1309.5995998809083,1194.2754001190917,-0.052424122979897514,-0.04923867905873047,1247.0,1255.25,1277.0,1270.75,1268.5,1296.25,1201.75
3351,2011-08-09,1.555,1250.25,0.04014143094841938,0.03935669520386026,48.25,0.027783399553150907,1252.9642857142858,1256.575,1252.41,0.9978337086338112,1,9,8,44.195356285028026,-5.16113391614067,-4.594202799401189,1306.9676786918665,1194.1823213081336,-0.01613220539051741,-0.0213307240704501,1202.0,1247.0,1255.25,1277.0,1270.75,1296.25,1201.75
3352,2011-08-08,1.56,1189.75,-0.04839032193561288,-0.04960033029779324,-60.5,0.0290973244448109,1241.7142857142858,1253.5416666666667,1250.05,0.9581511734928669,0,8,8,40.498899486427,-9.185473932728883,-5.512457026066728,1310.4991294325546,1185.3258705674452,-0.06832419733750979,-0.04283990345937248,1250.25,1202.0,1247.0,1255.25,1277.0,1296.25,1189.75
3353,2011-08-05,1.564,1276.25,0.07270434965328842,0.0701828894776554,86.5,0.04259344469155837,1242.5,1253.3333333333333,1250.0,1.0271629778672031,4,5,8,54.92354740061162,-5.333484214298096,-5.4766624637130015,1313.1934800154077,1185.4815199845925,0.016729735112527386,0.022841114005209377,1189.75,1250.25,1202.0,1247.0,1255.25,1296.25,1189.75
3354,2011-08-04,1.602,1277.25,0.0007835455435847294,0.0007832387320320498,1.0,0.042564910091424206,1242.5357142857142,1252.6916666666666,1249.465,1.0279382598948004,3,4,8,53.38393421884882,-2.1749910250514404,-4.816328175980689,1312.8271447434345,1185.5978552565657,0.02425821972734563,-0.0019535065442469234,1276.25,1189.75,1250.25,1202.0,1247.0,1296.25,1189.75
3355,2011-08-03,1.601,1333.0,0.043648463495791656,0.04272271196780124,55.75,0.044466318360078506,1253.642857142857,1254.1583333333333,1250.47,1.0633012363967866,2,3,8,60.971428571428575,4.771691570797884,-2.8987242266249744,1322.0766073164575,1180.0233926835424,0.10898502495840266,0.028351012536162006,1277.25,1276.25,1189.75,1250.25,1202.0,1333.0,1189.75
3356,2011-08-02,1.605,1325.75,-0.005438859714928745,-0.0054537041614693095,-7.25,0.04440021173629994,1264.892857142857,1256.1166666666666,1251.325,1.0481124883530508,1,2,8,65.14041514041514,9.58152333027192,-0.4026747152455954,1330.5199382519781,1175.8300617480218,0.060387922415516895,0.03311903370348724,1333.0,1277.25,1276.25,1189.75,1250.25,1333.0,1189.75
3357,2011-08-01,1.609,1358.25,0.02451442579671892,0.02421876941439316,32.5,0.03965686374776613,1287.2142857142858,1259.725,1253.005,1.0551856167804228,0,1,8,67.6487252124646,15.833311479942267,2.8445225237919773,1346.3092350754705,1167.2157649245296,0.1416263920991805,0.05577147298872911,1325.75,1333.0,1277.25,1276.25,1189.75,1358.25,1189.75
3358,2011-07-29,1.609,1367.0,0.006442113013068296,0.006421451292317115,8.75,0.03859190072232908,1303.892857142857,1263.9,1254.83,1.0483990248979704,4,29,7,66.84088269454122,21.249005198573514,6.525419058748286,1364.577013699037,1160.197986300963,0.07110675808031341,0.08967716221602232,1358.25,1325.75,1333.0,1277.25,1276.25,1367.0,1189.75
3359,2011-07-28,1.61,1375.25,0.006035113386978708,0.006016975031617825,8.25,0.02811237715141981,1330.392857142857,1268.525,1257.54,1.0337172156452177,3,28,7,63.60739324410453,25.908035830565495,10.40194241311173,1382.370654840489,1156.329345159511,0.07672734390291643,0.11266181229773463,1367.0,1358.25,1325.75,1333.0,1277.25,1375.25,1189.75
3360,2011-07-27,1.612,1377.5,0.001636066169787398,0.001634729271502176,2.25,0.017108606728690894,1344.857142857143,1272.3,1260.245,1.0242723603144253,2,27,7,63.60739324410453,29.44251241311713,14.210056413112811,1398.1397381294382,1153.2602618705619,0.03338334583645911,0.1015593762495002,1375.25,1367.0,1358.25,1325.75,1333.0,1377.5,1189.75
3361,2011-07-26,1.615,1404.75,0.019782214156079947,0.019589088965238123,27.25,0.016703510106563246,1363.0714285714287,1276.5416666666667,1263.945,1.030576953309228,1,26,7,65.45674531155476,34.04995118961028,18.178035368412306,1417.8262747362126,1150.3487252637876,0.059588911936639635,0.13561034761519805,1377.5,1375.25,1367.0,1358.25,1325.75,1404.75,1189.75
3362,2011-07-25,1.613,1412.0,0.005161060686954988,0.005147788060879814,7.25,0.010379044385455893,1374.357142857143,1282.175,1268.22,1.0273894288238656,0,25,7,69.65517241379311,37.85008184139747,22.112444663009338,1434.0203602119468,1155.179639788053,0.03957297993741948,0.17495319325982941,1404.75,1377.5,1375.25,1367.0,1358.25,1412.0,1189.75
3363,2011-07-22,1.611,1419.5,0.005311614730878267,0.0052975578598385715,7.5,0.008659411724267773,1387.75,1287.9,1273.19,1.0228787605836787,4,22,7,71.67085427135679,40.99434281540289,25.88882429348805,1448.4213442011478,1162.4786557988523,0.03840526700804682,0.18045738045738047,1412.0,1404.75,1377.5,1375.25,1367.0,1419.5,1189.75
3364,2011-07-21,1.608,1421.0,0.0010567101091933928,0.0010561521840747742,1.5,0.0062333531993110465,1396.7142857142858,1292.6083333333333,1277.395,1.0173877467525825,3,21,7,80.8885754583921,43.11028126722567,29.33311568823558,1461.5806200689308,1169.2193799310694,0.03326667878567533,0.16284779050736498,1419.5,1412.0,1404.75,1377.5,1375.25,1421.0,1189.75
3365,2011-07-20,1.604,1399.75,-0.014954257565095053,-0.015067199868098019,-21.25,0.010227007947651372,1401.392857142857,1296.0583333333334,1280.57,0.9988276969341726,2,20,7,72.82442748091603,42.58162585179093,31.982817720946652,1471.0337718080677,1172.8912281919324,0.016152450090744102,0.10346866377611352,1421.0,1419.5,1412.0,1404.75,1377.5,1421.0,1189.75
3366,2011-07-19,1.609,1399.75,0.0,0.0,0.0,0.010225435143242445,1404.892857142857,1299.9416666666666,1283.895,0.9963393243002772,1,19,7,89.32584269662921,41.682176442526725,33.922689465262664,1479.3058289117002,1177.5191710882996,-0.003559352197899982,0.101514853433012,1399.75,1421.0,1419.5,1412.0,1404.75,1421.0,1189.75
3367,2011-07-18,1.608,1379.0,-0.014824075727808528,-0.014935050435700847,-20.75,0.012181609283762922,1405.107142857143,1303.025,1286.39,0.981419820552576,0,18,7,75.527950310559,38.847198398886576,34.90759125198745,1483.983643848606,1183.041356151394,-0.023371104815864022,0.07987470634299139,1399.75,1399.75,1421.0,1419.5,1412.0,1421.0,1189.75
3368,2011-07-15,1.608,1393.5,0.010514865844815091,0.010459969128701094,14.5,0.010011382961360308,1403.5,1307.6583333333333,1289.395,0.9928749554684717,4,15,7,77.0663562281723,37.34005379604719,35.3940837607994,1488.4401219143483,1192.4098780856516,-0.018316308559351884,0.11013742282413862,1379.0,1399.75,1399.75,1421.0,1419.5,1421.0,1189.75
3369,2011-07-14,1.606,1385.25,-0.005920344456404769,-0.005937939174543898,-8.25,0.009727548162582587,1399.6785714285713,1312.6333333333334,1292.81,0.9896915108060524,3,14,7,65.6203288490284,35.07559516081892,35.330386040803305,1489.7901952860764,1204.8848047139238,-0.025158339197748066,0.11086607858861267,1393.5,1379.0,1399.75,1399.75,1421.0,1421.0,1189.75
3370,2011-07-13,1.605,1390.75,0.003970402454430699,0.003962541207943651,5.5,0.009555407412116832,1395.5714285714287,1317.3083333333334,1296.46,0.9965451939809601,2,13,7,69.63746223564955,33.340471214007266,34.9324030754441,1482.7415682446008,1230.8084317553994,-0.006429719592784426,0.15702995008319467,1385.25,1393.5,1379.0,1399.75,1399.75,1421.0,1189.75
3371,2011-07-12,1.599,1389.25,-0.0010785547366528592,-0.0010791367953719344,-1.5,0.0094422195528742,1391.0357142857142,1322.3833333333334,1299.435,0.9987162699940949,1,12,7,61.52416356877323,31.48143711079001,34.24220988251328,1479.9027109683645,1247.5472890316353,-0.0075013395249151635,0.11117776444711058,1390.75,1385.25,1393.5,1379.0,1399.75,1421.0,1189.75
3372,2011-07-11,1.601,1397.0,0.005578549577109904,0.005563047096931136,7.75,0.008296300423020752,1390.642857142857,1328.8916666666667,1301.76,1.0045713698700498,0,11,7,61.235955056179776,30.284399712419827,33.45064784849459,1457.1908400719458,1290.9841599280544,0.01305293691080493,0.17419625971842825,1389.25,1390.75,1385.25,1393.5,1379.0,1421.0,1276.25
3373,2011-07-08,1.593,1420.25,0.016642806012884703,0.0165058321802744,23.25,0.010478156190663696,1393.5714285714287,1336.15,1304.515,1.019144028703229,4,8,7,65.15151515151516,30.856129389338548,32.931744156663385,1452.850919607026,1309.7240803929737,0.01919626838894869,0.11283055827619981,1397.0,1389.25,1390.75,1385.25,1393.5,1421.0,1277.25
3374,2011-07-07,1.583,1430.25,0.007041013906002425,0.007016341711401831,10.0,0.0073857417459600614,1400.892857142857,1343.0916666666667,1307.19,1.0209560229445507,3,7,7,66.88,31.750149741462337,32.69542527362318,1444.623384770689,1333.251615229311,0.03248511099079589,0.11978860833822666,1420.25,1397.0,1389.25,1390.75,1385.25,1430.25,1325.75
3375,2011-07-06,1.569,1414.25,-0.011186855444852317,-0.011249898925373076,-16.0,0.00915112012882548,1403.857142857143,1347.95,1309.695,1.0074030731657677,2,6,7,53.27586206896552,30.81241469265342,32.31882315742923,1443.075732115522,1342.924267884478,0.016897357540895202,0.060952738184546135,1430.25,1420.25,1397.0,1389.25,1390.75,1430.25,1325.75
3376,2011-07-05,1.568,1415.25,0.0007070885628424062,0.000706838693504118,1.0,0.008496474600573196,1408.142857142857,1352.7666666666667,1312.66,1.0050471745967333,1,5,7,51.171171171171174,29.806355441391133,31.816329614221612,1437.165877906786,1357.784122093214,0.018715134065143062,0.06750895719404111,1414.25,1430.25,1420.25,1397.0,1389.25,1430.25,1358.25
3377,2011-07-01,1.556,1413.25,-0.001413177883766159,-0.0014141773613691453,-2.0,0.008646501592865273,1411.357142857143,1357.3083333333334,1315.925,1.0013411609899285,4,1,7,47.65478424015009,28.518914655457593,31.156846622468812,1435.890072100854,1364.5599278991458,0.011632068718682892,0.04049328179642923,1415.25,1414.25,1430.25,1420.25,1397.0,1430.25,1367.0
3378,2011-06-30,1.547,1394.0,-0.013621086148947414,-0.013714704234930942,-19.25,0.010558161960500622,1412.0357142857142,1361.9333333333334,1318.97,0.9872271543111516,3,30,6,41.05960264900662,25.64962156499155,30.05540161097336,1433.8252957891184,1369.3247042108817,-0.01848266150325647,0.019751280175566936,1413.25,1415.25,1414.25,1430.25,1420.25,1430.25,1375.25
3379,2011-06-29,1.537,1382.75,-0.008070301291248194,-0.008103042445681781,-11.25,0.010730505755997393,1410.0,1366.4583333333333,1321.895,0.9806737588652482,2,29,6,43.97163120567376,22.211860635823314,28.486693415943353,1433.0659123205203,1370.8340876794798,-0.033210977101905265,0.005453553899291038,1394.0,1413.25,1415.25,1414.25,1430.25,1430.25,1377.5
